Asset,cat,subcat,TgtVol
HG1 Comdty,commodities,comm-base,"1,200,000"
SCO1 Comdty,commodities,commodities,"1,200,000"
NG1 Comdty,commodities,comm-enrgy,"750,000"
XB1 Comdty,commodities,comm-enrgy,"750,000"
CO1 Comdty,commodities,comm-enrgy,"750,000"
QS1 Comdty,commodities,comm-enrgy,"750,000"
TZT2 Comdty,commodities,comm-enrgy,"750,000"
CL1 Comdty,commodities,comm-enrgy,"750,000"
MO1 Comdty,commodities,commodities,"750,000"
HO1 Comdty,commodities,commodities,"750,000"
GC1 Comdty,commodities,comm-prec,"2,000,000"
PL1 Comdty,commodities,comm-prec,"2,000,000"
SI1 Comdty,commodities,comm-prec,"2,000,000"
RS1 Comdty,commodities,comm-soft,"400,000"
CA1 Comdty,commodities,comm-soft,"400,000"
SB1 Comdty,commodities,comm-soft,"400,000"
RR1 Comdty,commodities,comm-soft,"400,000"
KC1 Comdty,commodities,comm-soft,"400,000"
BO1 Comdty,commodities,comm-soft,"400,000"
FC1 Comdty,commodities,comm-soft,"400,000"
C 1 Comdty,commodities,comm-soft,"400,000"
W 1 Comdty,commodities,comm-soft,"400,000"
SM1 Comdty,commodities,comm-soft,"400,000"
YW1 Comdty,commodities,comm-soft,"400,000"
S 1 Comdty,commodities,comm-soft,"400,000"
RS1 Comdty,commodities,comm-soft,"400,000"
QC1 Comdty,commodities,commodities,"400,000"
QW1 Comdty,commodities,commodities,"400,000"
BTC1 Curncy,crypto,crypto,"1,000,000"
DCR1 Curncy,crypto,crypto,"1,000,000"
XP1 Index,equities,eq-em,"750,000"
NK1 Index,equities,eq-em,"750,000"
TP1 Index,equities,eq-em,"750,000"
ASD3 Index,equities,eq-divf,"1,250,000"
DBE3 Index,equities,eq-divf,"1,250,000"
DED3 Index,equities,eq-divf,"1,250,000"
XU1 Index,equities,eq-em,"750,000"
ZVL1 Index,equities,eq-em,"750,000"
QZ1 Index,equities,eq-em,"750,000"
HC1 Index,equities,eq-em,"750,000"
KM1 Index,equities,eq-em,"750,000"
XB1 Index,equities,eq-em,"750,000"
MES1 Index,equities,eq-em,"750,000"
XB1 Index,equities,eq-em,"750,000"
VG1 Index,equities,eq-eu,"1,000,000"
CA1 Index,equities,eq-eu,"1,000,000"
GX1 Index,equities,eq-eu,"1,000,000"
CF1 Index,equities,eq-eu,"1,000,000"
IB1 Index,equities,eq-eu,"1,000,000"
ST1 Index,equities,eq-eu,"1,000,000"
QC1 Index,equities,eq-eu,"1,000,000"
SM1 Index,equities,eq-eu,"1,000,000"
Z 1 Index,equities,eq-eu,"1,000,000"
NQ1 Index,equities,eq-us,"1,500,000"
ES1 Index,equities,eq-us,"1,500,000"
DM1 Index,equities,eq-us,"1,500,000"
RTY1 Index,equities,eq-us,"1,500,000"
UX2 Index,equities,vol,"2,000,000"
FVS2 Index,equities,vol,"2,000,000"
JB1 Comdty,rates,fi-as,"2,000,000"
IK1 Comdty,rates,fi-eu,"2,000,000"
BTS1 Comdty,rates,fi-eu,"1,500,000"
G 1 Comdty,rates,fi-eu,"1,500,000"
OAT1 Comdty,rates,fi-eu,"1,500,000"
UB1 Comdty,rates,fi-eu,"1,500,000"
RX1 Comdty,rates,fi-eu,"1,500,000"
OE1 Comdty,rates,fi-eu,"1,500,000"
DU1 Comdty,rates,fi-eu,"1,500,000"
CN1 Comdty,rates,fi-us,"2,000,000"
US1 Comdty,rates,fi-us,"2,000,000"
WN1 Comdty,rates,fi-us,"2,000,000"
TY1 Comdty,rates,fi-us,"2,000,000"
FV1 Comdty,rates,fi-us,"2,000,000"
TU1 Comdty,rates,fi-us,"2,000,000"
AD1 Curncy,fx,fx-dm,"1,200,000"
DX1 Curncy,fx,fx-dm,"1,200,000"
JY1 Curncy,fx,fx-dm,"1,200,000"
BP1 Curncy,fx,fx-dm,"1,200,000"
EC1 Curncy,fx,fx-dm,"1,200,000"
CD1 Curncy,fx,fx-dm,"1,200,000"
SF1 Curncy,fx,fx-dm,"1,200,000"
NO1 Curncy,fx,fx-dm,"1,200,000"
SE1 Curncy,fx,fx-dm,"1,200,000"
SDE1 Curncy,fx,fx-dm,"1,200,000"
NV1 Curncy,fx,fx-dm,"1,200,000"
XUC1 Curncy,fx,fx-em,"1,200,000"
PE1 Curncy,fx,fx-em,"1,200,000"
XID1 Curncy,fx,fx-em,"1,200,000"
XTD1 Curncy,fx,fx-em,"1,200,000"
RA1 Curncy,fx,fx-em,"1,200,000"
KO1 Curncy,fx,fx-em,"1,200,000"
A11 Curncy,fx,fx-em,"1,200,000"
PLE1 Curncy,fx,fx-em,"1,200,000"
SSY4 Comdty,rates,stir,"2,000,000"
SFI6 Comdty,rates,stir,"2,000,000"
ER6 Comdty,rates,stir,"2,000,000"
IR6 Comdty,rates,stir,"2,000,000"
SFR8 Comdty,rates,stir,"2,000,000"